course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.150.112.01.FA25,Philosophical Problems,"Taylor, Elanor","Taylor, Elanor",2025 Fall,Philosophy,2.92,4.31,4.00
AS.150.112.03.FA25,Philosophical Problems,"Taylor, Elanor","Taylor, Elanor",2025 Fall,Philosophy,2.60,5.00,4.00
AS.150.112.02.FA25,Philosophical Problems,"Taylor, Elanor","Taylor, Elanor",2025 Fall,Philosophy,3.29,4.71,4.57
AS.150.112.04.FA25,Philosophical Problems,"Taylor, Elanor","Taylor, Elanor",2025 Fall,Philosophy,3.10,4.50,4.20
AS.150.118.01.SP24,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2024 Spring,Philosophy,2.69,3.73,3.50
AS.150.118.04.SP24,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2024 Spring,Philosophy,2.67,3.78,3.88
AS.150.118.03.SP24,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2024 Spring,Philosophy,2.25,2.50,3.00
AS.150.118.02.SP24,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2024 Spring,Philosophy,2.91,3.18,4.36
AS.150.118.02.SP25,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2025 Spring,Philosophy,3.00,2.43,3.75
AS.150.118.01.SP25,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2025 Spring,Philosophy,2.88,3.67,4.13
AS.150.118.03.SP25,Introduction to Formal Logic,"Achinstein, Peter","Achinstein, Peter",2025 Spring,Philosophy,1.78,2.88,3.50
AS.150.136.03.FA24,Philosophy & Science: An Introduction to Both,"Achinstein, Peter","Achinstein, Peter",2024 Fall,Philosophy,3.00,2.42,3.44
AS.150.136.02.FA24,Philosophy & Science: An Introduction to Both,"Achinstein, Peter","Achinstein, Peter",2024 Fall,Philosophy,3.89,3.40,4.50
AS.150.136.01.FA24,Philosophy & Science: An Introduction to Both,"Achinstein, Peter","Achinstein, Peter",2024 Fall,Philosophy,2.56,2.88,3.88
AS.150.136.03.FA25,Philosophy & Science: An Introduction to Both,"Dulani, Saakshi","Dulani, Saakshi",2025 Fall,Philosophy,2.40,4.20,4.30
AS.150.136.02.FA25,Philosophy & Science: An Introduction to Both,"Dulani, Saakshi","Dulani, Saakshi",2025 Fall,Philosophy,2.80,4.40,4.60
AS.150.136.01.FA25,Philosophy & Science: An Introduction to Both,"Dulani, Saakshi","Dulani, Saakshi",2025 Fall,Philosophy,2.90,4.70,4.80
AS.150.136.04.FA25,Philosophy & Science: An Introduction to Both,"Dulani, Saakshi","Dulani, Saakshi",2025 Fall,Philosophy,3.50,4.80,4.60
AS.150.139.04.SP24,Introduction to Philosophy of Mind,"Green, E. J.","Green, E. J.",2024 Spring,Philosophy,3.17,4.31,4.46
AS.150.139.03.SP24,Introduction to Philosophy of Mind,"Green, E. J.","Green, E. J.",2024 Spring,Philosophy,3.33,4.42,4.17
