code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.200.101,Introduction To Psychology,3,"Do we all see colors the same way? How did so many 'good' people support the Nazi party? Do crossword puzzles really stave off Alzheimer's Disease? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of the mind. We'll explore topics such as perception, language, memory, decision-making, creativity, love, sex, art, politics, religion, dreams, drugs, brain damage and mental illness, grappling with deep and long-standing controversies along the way: differences between the sexes, the relationship between mind and brain, causes and consequences of racism, human uniqueness (or not) within the animal kingdom, nature vs. nurture, good and evil, consciousness. Appropriate for anyone wanting to know who and what we are as human beings (or who noticed that psychology is now on the MCAT).","FA2, FA5","Natural Sciences, Social and Behavioral Sciences",,,,"AS.200.101.
Introduction To Psychology.
3 Credits.
Do we all see colors the same way? How did so many 'good' people support the Nazi party? Do crossword puzzles really stave off Alzheimer's Disease? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of the mind. We'll explore topics such as perception, language, memory, decision-making, creativity, love, sex, art, politics, religion, dreams, drugs, brain damage and mental illness, grappling with deep and long-standing controversies along the way: differences between the sexes, the relationship between mind and brain, causes and consequences of racism, human uniqueness (or not) within the animal kingdom, nature vs. nurture, good and evil, consciousness. Appropriate for anyone wanting to know who and what we are as human beings (or who noticed that psychology is now on the MCAT).
Distribution Area: Natural Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
AS.200.110,Introduction to Cognitive Psychology,3,"Introductory survey of current research and theory on topics in cognitive psychology. The course will cover a range of topics in perception, attention, learning, reasoning, and memory, emphasizing relationships among mind, brain, and behavior.","FA2, FA4","Natural Sciences, Social and Behavioral Sciences",,,,"AS.200.110.
Introduction to Cognitive Psychology.
3 Credits.
Introductory survey of current research and theory on topics in cognitive psychology. The course will cover a range of topics in perception, attention, learning, reasoning, and memory, emphasizing relationships among mind, brain, and behavior.
Distribution Area: Natural Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Citizens and Society (FA4)
EN Foundational Abilities: Engagement with Society (FA4)"
AS.200.132,Introduction to Developmental Psychology,3,"How does a newborn’s mind become an adult’s mind, like yours? This course will introduce students to the foundational theories and research on how children’s minds, brains, and behaviors develop, from birth through adolescence. Students will actively engage with a broad range of topics, from learning language to theory of mind, and consider the implications of what they learn for real-world issues like education, parenting, and policymaking.","FA2, FA4",Social and Behavioral Sciences,,,,"AS.200.132.
Introduction to Developmental Psychology.
3 Credits.
How does a newborn’s mind become an adult’s mind, like yours? This course will introduce students to the foundational theories and research on how children’s minds, brains, and behaviors develop, from birth through adolescence. Students will actively engage with a broad range of topics, from learning language to theory of mind, and consider the implications of what they learn for real-world issues like education, parenting, and policymaking.
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Citizens and Society (FA4)
EN Foundational Abilities: Engagement with Society (FA4)"
AS.200.133,Introduction to Social Psychology,3,"An introductory survey of social psychology. Topics include social perception, social cognition, attitudes, prejudice, attraction, social influence, altruism, aggression, and group behavior.","FA2, FA5",Social and Behavioral Sciences,,,,"AS.200.133.
Introduction to Social Psychology.
3 Credits.
An introductory survey of social psychology. Topics include social perception, social cognition, attitudes, prejudice, attraction, social influence, altruism, aggression, and group behavior.
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
AS.200.141,"Foundations of Brain, Behavior and Cognition",3,A survey of neuropsychology relating the organization of behavior to the integrative action of the nervous system. Cross-listed with Behavioral Biology and Neuroscience.,"FA2, FA5","Natural Sciences, Social and Behavioral Sciences",,,Cross-listed with Behavioral Biology and Neuroscience.,"AS.200.141.
Foundations of Brain, Behavior and Cognition.
3 Credits.
A survey of neuropsychology relating the organization of behavior to the integrative action of the nervous system. Cross-listed with Behavioral Biology and Neuroscience.
Distribution Area: Natural Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
AS.200.159,Evolutionary Psychology,1,"In this seminar we discuss evolutionary psychology—the idea that the mind can be understood as an adaptation to our ancestral environment by means of natural selection. Topics range from nature vs. nurture and freewill vs. determinism to the exploration of how evolutionary principles speak to broad social issues such sexuality, gender, social class, and violence. Note: This course does not count towards the Psychology major.",FA2,"Natural Sciences, Social and Behavioral Sciences",,,,"AS.200.159.
Evolutionary Psychology.
1 Credit.
In this seminar we discuss evolutionary psychology—the idea that the mind can be understood as an adaptation to our ancestral environment by means of natural selection. Topics range from nature vs. nurture and freewill vs. determinism to the exploration of how evolutionary principles speak to broad social issues such sexuality, gender, social class, and violence.  Note: This course does not count towards the Psychology major.
Distribution Area: Natural Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.200.162,Childhood Disorders & Treatments,3,"This course examines the psychological disorders that are usually first diagnosed prior to adulthood. Some of the specific disorders that will be discussed are Attention-Deficit and Disruptive Behavior Disorders, Neurodevelopmental Disorders, Learning Disorders and Intellectual Disability.Students will become familiar with various diagnoses, etiologies, and methods of treatment. Note: This course does not count toward the Psychology Major",FA2,Social and Behavioral Sciences,,,,"AS.200.162.
Childhood Disorders & Treatments.
3 Credits.
This course examines the psychological disorders that are usually first diagnosed prior to adulthood.  Some of the specific disorders that will be discussed are Attention-Deficit and Disruptive Behavior Disorders, Neurodevelopmental Disorders, Learning Disorders and Intellectual Disability.Students will become familiar with various diagnoses, etiologies, and methods of treatment.  Note: This course does not count toward the Psychology Major
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2)"
AS.200.199,Psychopathology and Its Development,1,"Examine an overview of abnormal psychology (i.e., psychopathology), including its development, etiological/theoretical perspectives, diagnosis, and treatment. Broadly cover the DSM categories, with a focus on understanding the major features of the common disorders and the evidence-based treatment of these conditions.",FA2,,,,,"AS.200.199.
Psychopathology and Its Development.
1 Credit.
Examine an overview of abnormal psychology (i.e., psychopathology), including its development, etiological/theoretical perspectives, diagnosis, and treatment. Broadly cover the DSM categories, with a focus on understanding the major features of the common disorders and the evidence-based treatment of these conditions.
AS Foundational Abilities: Science and Data (FA2)"
AS.200.200,Research Methods in Psychology,4,"The goal of this course is to introduce how psychological scientists develop and test research questions about the mind and behavior. We will explore how empirical investigation differs from other ways of making discoveries and learning about the world, and how psychologists employ various methodologies to tackle their phenomena of interest. We will examine the relationships between research questions and research designs, the benefits and drawbacks of differing measurement and sampling approaches, the ethical implications of various research paradigms, and best practices in communicating research findings clearly and engagingly. You will have the opportunity to engage “hands-on” with the research process through interactive labs and demonstrations. Over the course of the semester, you will develop and receive feedback on a research proposal, which will serve as a foundation for the spring course “Design and Analysis for Experimental Psychology”.","FA1, FA5, FA6","Quantitative and Mathematical Sciences, Social and Behavioral Sciences",,,Writing Intensive,"AS.200.200.
Research Methods in Psychology.
4 Credits.
The goal of this course is to introduce how psychological scientists develop and test research questions about the mind and behavior. We will explore how empirical investigation differs from other ways of making discoveries and learning about the world, and how psychologists employ various methodologies to tackle their phenomena of interest. We will examine the relationships between research questions and research designs, the benefits and drawbacks of differing measurement and sampling approaches, the ethical implications of various research paradigms, and best practices in communicating research findings clearly and engagingly. You will have the opportunity to engage “hands-on” with the research process through interactive labs and demonstrations. Over the course of the semester, you will develop and receive feedback on a research proposal, which will serve as a foundation for the spring course “Design and Analysis for Experimental Psychology”.
Distribution Area: Quantitative and Mathematical Sciences, Social and Behavioral Sciences
AS Foundational Abilities: Writing and Communication (FA1),
Ethics and Foundations (FA5),
Projects and Methods (FA6)
Writing Intensive"
AS.200.202,Forensic Psychology,3,"The field of forensic psychology is focused on answering legal questions about the causes of human behavior. This survey course will explore the work that forensic psychologists do; their research, assessment, and clinical methods; and how their work influences lawyers, judges, and other legal practitioners. Specific topics will include mental capacity assessment, psychopathy, claims of mental distress, child custody evaluations, juvenile delinquency, forensic treatment, and forensic neuropsychological assessments. Prerequisite(s): AS.200.101 OR AS.200.110 OR AS.200.132 OR AS.200.133 OR AS.200.141 OR AS.200.212","FA2, FA5",Social and Behavioral Sciences,"AS.200.101, AS.200.110, AS.200.132, AS.200.133, AS.200.141, AS.200.212","AS.200.101
OR
AS.200.110
OR
AS.200.132
OR
AS.200.133
OR
AS.200.141
OR
AS.200.212",,"AS.200.202.
Forensic Psychology.
3 Credits.
The field of forensic psychology is focused on answering legal questions about the causes of human behavior. This survey course will explore the work that forensic psychologists do; their research, assessment, and clinical methods; and how their work influences lawyers, judges, and other legal practitioners. Specific topics will include mental capacity assessment, psychopathy, claims of mental distress, child custody evaluations, juvenile delinquency, forensic treatment, and forensic neuropsychological assessments.
Prerequisite(s):
AS.200.101
OR
AS.200.110
OR
AS.200.132
OR
AS.200.133
OR
AS.200.141
OR
AS.200.212
Distribution Area: Social and Behavioral Sciences
AS Foundational Abilities: Science and Data (FA2),
Ethics and Foundations (FA5)"
