course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
EN.663.611.01.SP24,Intro to Zen Meditation,"Reiser, Julie","Reiser, Julie",2024 Spring,Center for Leadership Education,1.43,4.29,4.17
EN.663.611.01.FA24,Intro to Zen Meditation,"Reiser, Julie","Reiser, Julie",2024 Fall,Center for Leadership Education,1.75,4.50,3.50
EN.663.611.01.SP25,Intro to Zen Meditation,"Reiser, Julie","Reiser, Julie",2025 Spring,Center for Leadership Education,2.00,4.50,4.50
EN.663.611.01.FA25,Intro to Zen Meditation,"Reiser, Julie","Reiser, Julie",2025 Fall,Center for Leadership Education,2.50,4.63,4.13
EN.663.613.01.SP24,Technical Communication,"Hilliard, Amanda","Hilliard, Amanda",2024 Spring,Center for Leadership Education,3.00,4.60,4.20
EN.663.613.01.FA24,Technical Communication,"Hilliard, Amanda","Hilliard, Amanda",2024 Fall,Center for Leadership Education,3.00,4.90,4.73
EN.663.613.01.FA25,Technical Communication,"Hilliard, Amanda","Hilliard, Amanda",2025 Fall,Center for Leadership Education,3.73,4.42,3.58
EN.663.614.01.FA24,Leading Teams Through Crisis,"Foxwell, Len","Foxwell, Len",2024 Fall,Center for Leadership Education,2.92,4.83,4.58
EN.663.614.01.SP25,Leading Teams Through Crisis,"Foxwell, Len","Foxwell, Len",2025 Spring,Center for Leadership Education,3.00,5.00,4.83
EN.663.614.02.SP25,Leading Teams Through Crisis,"Foxwell, Len","Foxwell, Len",2025 Spring,Center for Leadership Education,3.20,4.20,4.40
EN.663.614.01.FA25,Leading Teams Through Crisis,"Foxwell, Len","Foxwell, Len",2025 Fall,Center for Leadership Education,3.15,4.62,4.54
EN.663.618.06.FA24,Professional Presentations,"Smith, Sarah","Smith, Sarah",2024 Fall,Center for Leadership Education,3.09,4.73,4.18
EN.663.618.05.FA24,Professional Presentations,"Hilliard, Amanda","Hilliard, Amanda",2024 Fall,Center for Leadership Education,3.70,4.80,4.60
EN.663.618.07.FA24,Professional Presentations,"Choy, Marina","Choy, Marina",2024 Fall,Center for Leadership Education,3.45,5.00,4.82
EN.663.618.02.FA24,Professional Presentations,"Ross, Andy","Ross, Andy",2024 Fall,Center for Leadership Education,3.80,5.00,4.70
EN.663.618.01.FA24,Professional Presentations,"Reiser, Julie","Reiser, Julie",2024 Fall,Center for Leadership Education,3.92,5.00,4.67
EN.663.618.03.FA24,Professional Presentations,"Reiser, Julie","Reiser, Julie",2024 Fall,Center for Leadership Education,3.33,4.92,4.50
EN.663.618.04.FA24,Professional Presentations,"Ross, Andy","Ross, Andy",2024 Fall,Center for Leadership Education,3.42,4.91,4.83
EN.663.618.01.FA25,Professional Presentations,"Ross, Andy","Ross, Andy",2025 Fall,Center for Leadership Education,3.55,4.91,4.82
EN.663.618.02.FA25,Professional Presentations,"Ross, Andy","Ross, Andy",2025 Fall,Center for Leadership Education,3.30,4.90,4.30
EN.663.618.05.FA25,Professional Presentations,"Smith, Sarah","Smith, Sarah",2025 Fall,Center for Leadership Education,3.63,4.63,4.25
EN.663.618.03.FA25,Professional Presentations,"Reiser, Julie","Reiser, Julie",2025 Fall,Center for Leadership Education,3.71,4.86,4.57
EN.663.618.06.FA25,Professional Presentations,"Choy, Marina","Choy, Marina",2025 Fall,Center for Leadership Education,2.89,5.00,4.89
EN.663.618.04.FA25,Professional Presentations,"Reiser, Julie","Reiser, Julie",2025 Fall,Center for Leadership Education,3.36,4.64,4.09
EN.663.622.01.FA24,Professional Writing and Communication for Graduate Students,"Link-Farajali, Denise","Link-Farajali, Denise",2024 Fall,Center for Leadership Education,2.56,4.60,4.06
EN.663.622.01.FA25,Professional Writing and Communication for Graduate Students,"Link-Farajali, Denise","Link-Farajali, Denise",2025 Fall,Center for Leadership Education,2.50,4.85,4.42
EN.663.623.01.FA24,Professional Writing and Communication for International Students: Applied Mathematics and Statistics Masters,"Link-Farajali, Denise","Link-Farajali, Denise",2024 Fall,Center for Leadership Education,2.68,4.52,4.05
EN.663.623.01.FA25,Professional Writing and Communication for International Students: Applied Mathematics and Statistics Masters,"Link-Farajali, Denise","Link-Farajali, Denise",2025 Fall,Center for Leadership Education,3.00,4.63,4.06
EN.663.624.01.FA24,Advanced Communication for International Students: Applied Mathematics and Statistics Masters,"Link-Farajali, Denise","Link-Farajali, Denise",2024 Fall,Center for Leadership Education,2.50,4.64,4.09
EN.663.624.01.FA25,Advanced Communication for International Students: Applied Mathematics and Statistics Masters,"Link-Farajali, Denise","Link-Farajali, Denise",2025 Fall,Center for Leadership Education,2.76,4.76,4.29
EN.663.640.01.SP24,Writing Grant and Contract Proposals,"Goodyear, Herman","Goodyear, Herman",2024 Spring,Center for Leadership Education,2.60,5.00,5.00
EN.663.640.01.FA24,Writing Grant and Contract Proposals,"Goodyear, Herman","Goodyear, Herman",2024 Fall,Center for Leadership Education,2.60,5.00,4.70
EN.663.640.01.SP25,Writing Grant and Contract Proposals,"Goodyear, Herman","Goodyear, Herman",2025 Spring,Center for Leadership Education,2.55,4.91,4.27
EN.663.640.01.FA25,Writing Grant and Contract Proposals,"Goodyear, Herman","Goodyear, Herman",2025 Fall,Center for Leadership Education,2.79,5.00,4.93
EN.663.642.01.FA24,Global Innovation IP Protection,"Jacobs, Michael","Jacobs, Michael",2024 Fall,Center for Leadership Education,3.00,4.50,4.00
EN.663.642.01.FA25,Global Innovation IP Protection,"Sweigard, Ryan","Sweigard, Ryan",2025 Fall,Center for Leadership Education,3.05,4.57,4.38
EN.663.642.02.FA25,Global Innovation IP Protection,"Sweigard, Ryan","Sweigard, Ryan",2025 Fall,Center for Leadership Education,2.93,4.64,4.54
EN.663.645.01.SP24,Improving Presentation Skills for Graduate Students,"Hilliard, Amanda","Hilliard, Amanda",2024 Spring,Center for Leadership Education,2.75,5.00,4.75
EN.663.645.01.FA24,Improving Presentation Skills for Graduate Students,"Hilliard, Amanda","Hilliard, Amanda",2024 Fall,Center for Leadership Education,3.56,4.78,4.25
EN.663.645.01.SP25,Improving Presentation Skills for Graduate Students,"Hilliard, Amanda","Hilliard, Amanda",2025 Spring,Center for Leadership Education,2.67,4.50,4.00
EN.663.645.01.FA25,Improving Presentation Skills for Graduate Students,"Hilliard, Amanda","Hilliard, Amanda",2025 Fall,Center for Leadership Education,3.29,4.57,4.43
EN.663.653.03.FA24,Innovation and Design I,"Aronhime,  Lawrence","Aronhime,  Lawrence",2024 Fall,Center for Leadership Education,2.69,4.75,4.19
EN.663.653.01.FA24,Innovation and Design I,"Aronhime,  Lawrence","Aronhime,  Lawrence",2024 Fall,Center for Leadership Education,2.74,4.74,4.32
EN.663.653.01.FA24,Innovation and Design I,"Cocron,  Alexander","Cocron,  Alexander",2024 Fall,Center for Leadership Education,2.74,4.65,4.32
